03-13 22:39:28.669   55384-55384   A00001/com.lin...eCameraBridge  com.lingyu.photosend  I     NativeCamera模块注册成功，支持AP模式连接
03-13 22:39:28.670   55384-55384   A00001/com.lin...eCameraBridge  com.lingyu.photosend  I     NativeCamera模块初始化成功，注册了 <private> 个接口
03-13 22:39:28.677   55384-55384   A00000/com.lin...osend/testTag  com.lingyu.photosend  I     API 20获取的nativeLibraryDir: /data/storage/el1/bundle/libs/arm64
03-13 22:39:28.677   55384-55384   A00009/com.lin...ectionManager  com.lingyu.photosend  I     ConnectionManager初始化完成，默认超时时间：<private>ms
03-13 22:39:28.677   55384-55384   A00008/com.lin...DeviceManager  com.lingyu.photosend  I     CameraDeviceManager初始化完成
03-13 22:39:28.677   55384-55384   A00008/com.lin...DeviceManager  com.lingyu.photosend  I     设置驱动路径: /data/storage/el1/bundle/libs/arm64
03-13 22:39:28.677   55384-55384   A00009/com.lin...ectionManager  com.lingyu.photosend  I     设置驱动路径: /data/storage/el1/bundle/libs/arm64
03-13 22:39:28.677   55384-55384   A00010/com.lin...DeviceScanner  com.lingyu.photosend  I     设置扫描器驱动路径: /data/storage/el1/bundle/libs/arm64
03-13 22:39:28.677   55384-55384   A00011/com.lin...viceInterface  com.lingyu.photosend  I     设置驱动路径: /data/storage/el1/bundle/libs/arm64
03-13 22:39:28.677   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  W     ⚠️  单例 instance 为 null，重新创建 CamConnectionManager 实例
03-13 22:39:28.677   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  W     ⚠️  开始创建 Worker，当前时间=1773412768677
03-13 22:39:28.677   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     连接检测Worker初始化成功
03-13 22:39:28.677   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     主线程初始化 CamConnectionManager 单例成功
03-13 22:39:28.677   55384-55384   A00000/com.lin...osend/testTag  com.lingyu.photosend  I     Ability onCreate
03-13 22:39:28.692   55384-55384   A00000/com.lin...osend/testTag  com.lingyu.photosend  I     Ability onWindowStageCreate
03-13 22:39:28.693   55384-55568   A00001/com.lin...eCameraBridge  com.lingyu.photosend  I     NativeCamera模块初始化成功，注册了 <private> 个接口
03-13 22:39:28.694   55384-55384   A00000/com.ling...EntryAbility  com.lingyu.photosend  I     the width is 1276  2848  98  undefined
03-13 22:39:28.699   55384-55384   A00000/com.lin...osend/testTag  com.lingyu.photosend  I     Ability onForeground
03-13 22:39:28.727   55384-55384   A00000/com.lin...osend/testTag  com.lingyu.photosend  I     Succeeded in loading the content.
03-13 22:39:28.727   55384-55384   A00000/com.ling...EntryAbility  com.lingyu.photosend  I     on windowSizeChange, the width is 1276, the height is 2848
03-13 22:39:28.728   55384-55384   A00000/com.ling...EntryAbility  com.lingyu.photosend  I     on avoidAreaChange, the top avoid area height is 133
03-13 22:39:28.728   55384-55384   A00000/com.ling...EntryAbility  com.lingyu.photosend  I     on avoidAreaChange, the navigation indicator height is 98
03-13 22:39:28.737   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager PTP 相机连接管理器初始化
03-13 22:39:28.779   55384-55384   A00201/com.lin...reateLocalDir  com.lingyu.photosend  I     使用已保存的目录路径：/storage/Users/currentUser/Download/com.lingyu.photosend
03-13 22:39:28.779   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     获取到应用专属目录：/storage/Users/currentUser/Download/com.lingyu.photosend
03-13 22:39:28.779   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 设置默认相机：192.168.1.1:15740
03-13 22:39:28.779   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 添加监听器，当前监听器数量：1
03-13 22:39:28.779   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     HomePage 收到连接状态更新：state=false, message=未连接相机
03-13 22:39:28.779   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ==========================================
03-13 22:39:28.779   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 【PTP/IP】App 启动 - 开始自动检测并连接相机
03-13 22:39:28.779   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ==========================================
03-13 22:39:28.779   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 连接状态更新：未连接, 正在检测相机...
